Rank ,Major ,Degree Type ,Early Career Pay ,Mid-Career Pay  ,
1,Petroleum Engineering,Bachelor's,"$96,700 ","$172,000 ",
2,Systems Engineering,Bachelor's,"$66,400 ","$121,000 ",
3 (tie),Actuarial Science,Bachelor's,"$60,800 ","$119,000 ",
3 (tie),Chemical Engineering,Bachelor's,"$69,800 ","$119,000 ",
5 (tie),Computer Science (CS) & Engineering,Bachelor's,"$71,200 ","$116,000 ",
5 (tie),Nuclear Engineering,Bachelor's,"$68,500 ","$116,000 ",
7,Electronics & Communications Engineering,Bachelor's,"$68,000 ","$115,000 ",
8,Electrical & Computer Engineering (ECE),Bachelor's,"$68,100 ","$114,000 ",
9 (tie),Aeronautical Engineering,Bachelor's,"$63,000 ","$113,000 ",
9 (tie),Computer Engineering (CE),Bachelor's,"$69,600 ","$113,000 ",
11 (tie),Computer Science (CS) & Mathematics,Bachelor's,"$63,500 ","$111,000 ",
11 (tie),Physics & Mathematics,Bachelor's,"$56,200 ","$111,000 ",
13 (tie),Applied Mathematics,Bachelor's,"$56,100 ","$110,000 ",
13 (tie),Electrical Engineering (EE),Bachelor's,"$67,000 ","$110,000 ",
15 (tie),Electrical & Electronics Engineering (EEE),Bachelor's,"$64,000 ","$108,000 ",
15 (tie),Industrial & Systems Engineering,Bachelor's,"$63,800 ","$108,000 ",
15 (tie),Materials Science & Engineering,Bachelor's,"$65,800 ","$108,000 ",
15 (tie),Physics,Bachelor's,"$55,100 ","$108,000 ",
19 (tie),Computer Science (CS),Bachelor's,"$65,300 ","$107,000 ",
19 (tie),Engineering,Bachelor's,"$62,600 ","$107,000 ",
19 (tie),Industrial Distribution,Bachelor's,"$56,800 ","$107,000 ",
19 (tie),Mining Engineering,Bachelor's,"$70,200 ","$107,000 ",
23,Aerospace Engineering,Bachelor's,"$65,400 ","$106,000 ",
24,Government,Bachelor's,"$49,600 ","$105,000 ",
25 (tie),Biomedical Engineering (BME),Bachelor's,"$62,700 ","$104,000 ",
25 (tie),Industrial Engineering (IE),Bachelor's,"$63,800 ","$104,000 ",
25 (tie),Structural Engineering (SE),Bachelor's,"$58,700 ","$104,000 ",
28 (tie),Mechanical Engineering (ME),Bachelor's,"$63,500 ","$103,000 ",
28 (tie),Physician Assistant Studies,Bachelor's,"$85,200 ","$103,000 ",
30,Construction Engineering Management,Bachelor's,"$59,500 ","$102,000 ",
31,Finance & Real Estate,Bachelor's,"$59,500 ","$101,000 ",
32,Economics,Bachelor's,"$53,900 ","$100,000 ",
33,Electronics Engineering,Bachelor's,"$61,300 ","$99,600 ",
34,Engineering Management,Bachelor's,"$62,800 ","$98,400 ",
35,Finance & Economics,Bachelor's,"$56,700 ","$98,200 ",
36,Software Engineering,Bachelor's,"$64,700 ","$98,100 ",
37 (tie),Biochemistry & Molecular Biology,Bachelor's,"$46,000 ","$97,500 ",
37 (tie),Statistics,Bachelor's,"$57,400 ","$97,500 ",
39,Management Information Systems (MIS),Bachelor's,"$58,100 ","$97,400 ",
40,Building Construction Management,Bachelor's,"$54,400 ","$96,500 ",
41,Civil Engineering (CE),Bachelor's,"$57,200 ","$96,300 ",
